Date,CPI,Interest_Rate,GDP,Unemployment,VIX,BAA,AAA,Credit_Spread,SP500_Energy_Open,SP500_Energy_Close,SP500_Energy_Volume,SP500_Healthcare_Open,SP500_Healthcare_Close,SP500_Healthcare_Volume,SP500_Industrials_Open,SP500_Industrials_Close,SP500_Industrials_Volume,SP500_Open,SP500_Close,SP500_Volume,SP500_Financials_Open,SP500_Financials_Close,SP500_Financials_Volume,SP500_IT_Open,SP500_IT_Close,SP500_IT_Volume,USD_Index
1990-01-01,127.5,8.23,5872.701,5.4,23.347272727272728,9.94,8.99,0.9499999999999992,,,,,,,,,,353.3999938964844,329.0799865722656,3793250000,,,,,,,92.9552174443784
1990-02-01,128.0,8.24,,5.3,23.262631578947367,10.14,9.22,0.92,,,,,,,,,,329.0799865722656,331.8900146484375,2961970000,,,,,,,92.19100151062013
1990-03-01,128.6,8.28,,5.2,20.062272727272727,10.21,9.37,0.8400000000000016,,,,,,,,,,331.8900146484375,339.94000244140625,3283280000,,,,,,,93.98681883378462
1990-04-01,128.9,8.26,5960.028,5.4,21.4035,10.3,9.46,0.8399999999999999,,,,,,,,,,339.94000244140625,330.79998779296875,2801220000,,,,,,,93.36523764474052
1990-05-01,129.1,8.18,,5.4,18.097727272727273,10.41,9.47,0.9399999999999996,,,,,,,,,,330.79998779296875,361.2300109863281,3596680000,,,,,,,91.98173921004586
1990-06-01,129.9,8.29,,5.2,16.82238095238095,10.22,9.26,0.9600000000000009,,,,,,,,,,361.260009765625,358.0199890136719,3226280000,,,,,,,92.31999969482422
1990-07-01,130.5,8.15,6015.116,5.5,18.392857142857142,10.2,9.24,0.9599999999999992,,,,,,,,,,358.0199890136719,356.1499938964844,3373540000,,,,,,,89.57227221402255
1990-08-01,131.6,8.13,,5.7,28.175217391304347,10.41,9.41,1.0,,,,,,,,,,356.1499938964844,322.55999755859375,4020730000,,,,,,,86.48043524700662
1990-09-01,132.5,8.2,,5.9,29.10736842105263,10.64,9.56,1.08,,,,,,,,,,322.55999755859375,306.04998779296875,2687280000,,,,,,,86.01000022888184
1990-10-01,133.4,8.11,6004.733,5.9,29.625652173913043,10.74,9.53,1.2100000000000009,,,,,,,,,,306.1000061035156,304.0,3671900000,,,,,,,83.31434730861498
1990-11-01,133.7,7.81,,6.2,24.88571428571429,10.62,9.3,1.3199999999999985,,,,,,,,,,303.989990234375,322.2200012207031,3149770000,,,,,,,82.00545467029919
1990-12-01,134.2,7.31,,6.3,23.363,10.43,9.05,1.379999999999999,,,,,,,,,,322.2300109863281,330.2200012207031,3116830000,,,,,,,83.24571337018695
1991-01-01,134.7,6.91,6035.178,6.4,27.429090909090913,10.45,9.04,1.41,,,,,,,,,,330.20001220703125,343.92999267578125,3660240000,,,,,,,83.38217395284902
1991-02-01,134.8,6.25,,6.6,21.59842105263158,10.07,8.83,1.2400000000000002,,,,,,,,,,343.9100036621094,367.0700073242187,4303170000,,,,,,,82.03799934387207
1991-03-01,134.8,6.12,,6.8,17.74421052631579,10.09,8.93,1.16,,,,,,,,,,367.0700073242187,375.2200012207031,3927920000,,,,,,,88.07142893473308
1991-04-01,135.1,5.91,6126.862,6.7,17.37272727272727,9.94,8.86,1.08,,,,,,,,,,375.2200012207031,375.3399963378906,4017200000,,,,,,,91.27636302601208
1991-05-01,135.6,5.78,,6.9,16.93227272727273,9.86,8.86,1.0,,,,,,,,,,375.3500061035156,389.8299865722656,3739700000,,,,,,,92.11869579812756
1991-06-01,136.0,5.9,,6.9,17.134999999999998,9.96,9.01,0.9500000000000012,,,,,,,,,,389.80999755859375,371.1600036621094,3258730000,,,,,,,95.09400062561036
1991-07-01,136.2,5.82,6205.937,6.8,17.294090909090908,9.89,9.0,0.8900000000000006,,,,,,,,,,371.1799926757813,387.80999755859375,3481570000,,,,,,,95.23608696979024
1991-08-01,136.6,5.66,,6.9,15.681363636363637,9.65,8.75,0.9000000000000004,,,,,,,,,,387.80999755859375,395.4299926757813,3713820000,,,,,,,93.38454506613992
1991-09-01,137.0,5.45,,6.9,16.9565,9.51,8.61,0.9000000000000004,,,,,,,,,,395.4299926757813,387.8599853515625,3260990000,,,,,,,91.17523774646575
1991-10-01,137.2,5.21,6264.54,7.0,16.36391304347826,9.49,8.55,0.9399999999999996,,,,,,,,,,387.8599853515625,392.4500122070313,4082380000,,,,,,,90.65521671461022
1991-11-01,137.8,4.81,,7.0,17.773500000000002,9.45,8.48,0.9699999999999988,,,,,,,,,,392.4599914550781,375.2200012207031,3737620000,,,,,,,87.96666681198846
1991-12-01,138.2,4.43,,7.3,18.347619047619048,9.26,8.31,0.9499999999999992,,,,,,,,,,375.1099853515625,417.0899963378906,4155310000,,,,,,,85.4495454268022
1992-01-01,138.3,4.03,6363.102,7.3,17.68318181818182,9.13,8.2,0.9300000000000016,,,,,,,,,,417.0299987792969,408.7799987792969,5286280000,,,,,,,85.92521766994311
1992-02-01,138.6,4.06,,7.4,17.47736842105263,9.23,8.29,0.9400000000000012,,,,,,,,,,408.7900085449219,412.7000122070313,4267610000,,,,,,,87.97999954223633
1992-03-01,139.1,3.98,,7.4,17.520454545454545,9.25,8.35,0.9000000000000004,,,,,,,,,,412.6799926757813,403.69000244140625,4066240000,,,,,,,90.30363672429866
1992-04-01,139.4,3.73,6470.763,7.4,16.562857142857144,9.21,8.33,0.8800000000000008,,,,,,,,,,403.6700134277344,414.9500122070313,4315840000,,,,,,,89.77090974287553
1992-05-01,139.7,3.82,,7.6,15.077000000000002,9.13,8.28,0.8500000000000014,,,,,,,,,,414.9500122070313,415.3500061035156,3643980000,,,,,,,88.18380955287388
